deal_id;type;content
*        1;DEAL;T73-K63-Q6532-J9, A965-AQJ4-K8-A73, KJ4-T92-AJ74-642, Q82-875-T9-KQT85
*        1;DIRS;  North      East     South      West
*        1;BIDS;  passe       1T      passe     passe   
*        1;RULE;              17                        
*        1;BIDS;  passe   
*        1;RULE;          
*        2;DEAL;7-JT2-KT83-AKQT8, AKQJT985-AK7-J2, 642-543-Q75-J952, 3-Q986-A964-7643
*        2;DIRS;  North      East     South      West
*        2;BIDS;    1T      passe     passe     passe   
*        2;RULE;    17                                  
*        3;DEAL;J42-T85-AJ6-QJ96, AQ96-A9-T85-7543, 8-KQ642-K43-AKT8, KT753-J73-Q972-2
*        3;DIRS;  North      East     South      West
*        3;BIDS;  passe     passe       1C      passe   
*        3;RULE;                        16              
*        3;BIDS;  passe     passe   
*        3;RULE;                    
*        4;DEAL;AJ987-QT-5-AJT75, T4-A9843-J74-432, 3-KJ652-AKT32-KQ, KQ652-7-Q986-986
*        4;DIRS;  North      East     South      West
*        4;BIDS;    1P      passe       2C      passe   
*        4;RULE;    16                  47              
*        4;BIDS;    2P      passe     passe     passe   
*        4;RULE;   556                                  
*        5;DEAL;7-AKJT92-J32-873, AJ-Q4-KQ965-A642, 9632-73-AT874-Q9, KQT854-865-KJT5
*        5;DIRS;  North      East     South      West
*        5;BIDS;    2C      passe     passe     passe   
*        5;RULE;    22                                  
*        6;DEAL;AJ74-KT5-K9763-Q, KQ852-QJ7-5-AKT5, T9-A864-A82-J942, 63-932-QJT4-8763
*        6;DIRS;  North      East     South      West
*        6;BIDS;    1K        1P      passe     passe   
*        6;RULE;    17       190                        
*        6;BIDS;  passe   
*        6;RULE;          
*        7;DEAL;A53-T2-7652-QT74, QT7-865-AKQT9-86, 64-AKQ7-J843-A92, KJ982-J943-KJ53
*        7;DIRS;  North      East     South      West
*        7;BIDS;  passe     passe       1K        1P    
*        7;RULE;                        17        19    
*        7;BIDS;  passe     passe     passe   
*        7;RULE;                              
*        8;DEAL;AJ5-K62-AJT8-J62, 7-JT94-Q42-AQ987, KQ9864-853-65-T3, T32-AQ7-K973-K54
*        8;DIRS;  North      East     South      West
*        8;BIDS;    1K      passe       1P      passe   
*        8;RULE;    17                  62              
*        8;BIDS;   1SA      passe     passe     passe   
*        8;RULE;   491                                  
*        9;DEAL;J92-AQT73-J73-92, Q7-952-AT964-K75, T6-KJ64-Q52-AT86, AK8543-8-K8-QJ43
*        9;DIRS;  North      East     South      West
*        9;BIDS;  passe     passe     passe       1P    
*        9;RULE;                                  16    
*        9;BIDS;  passe     passe     passe   
*        9;RULE;                              
*       10;DEAL;KQ853-K62-AK7-AK, J42-AT84-QT54-T4, T9-953-J96-QJ753, A76-QJ7-832-9862
*       10;DIRS;  North      East     South      West
*       10;BIDS;    2T      passe     passe     passe   
*       10;RULE;    6                                   
*       11;DEAL;K8-Q42-A94-AJ743, QT73-6-KJT5-T862, 2-AKJT753-Q8632, AJ9654-98-7-KQ95
*       11;DIRS;  North      East     South      West
*       11;BIDS;    1T      passe       1C        1P    
*       11;RULE;    17                  62       201    
*       11;BIDS;  passe     passe     passe   
*       11;RULE;                              
*       12;DEAL;Q63-JT-JT64-8732, KJ9-AQ975-A985-5, T82-42-KQ2-QT964, A754-K863-73-AKJ
*       12;DIRS;  North      East     South      West
*       12;BIDS;  passe       1C      passe      1SA    
*       12;RULE;              16                  10    
*       12;BIDS;  passe       2K      passe       2C    
*       12;RULE;             287                 349    
*       12;BIDS;  passe      3SA      passe     passe   
*       12;RULE;             381                        
*       12;BIDS;  passe   
*       12;RULE;          
*       13;DEAL;K932-T84-JT8-K92, QT-AKQJ2-64-Q643, J854-9763-75-JT5, A76-5-AKQ932-A87
*       13;DIRS;  North      East     South      West
*       13;BIDS;  passe       1C      passe       1K    
*       13;RULE;              16                  17    
*       13;BIDS;  passe     passe     passe   
*       13;RULE;                              
*       14;DEAL;T98654-973-JT96, J6-A7432-AJ9543, 32-A852-Q-KQ8762, AKQJ7-KQT4-K85-T
*       14;DIRS;  North      East     South      West
*       14;BIDS;  passe     passe     passe       1P    
*       14;RULE;                                  16    
*       14;BIDS;  passe     passe     passe   
*       14;RULE;                              
*       15;DEAL;KJ43-K83-Q-AJT42, T972-JT962-74-Q7, AQ85-74-AK852-93, 6-AQ5-JT963-K865
*       15;DIRS;  North      East     South      West
*       15;BIDS;    1T      passe       1K      passe   
*       15;RULE;    17                  58              
*       15;BIDS;    1P      passe     passe     passe   
*       15;RULE;   509                                  
*       16;DEAL;93-J8762-62-AK43, KJT642-QT4-94-98, 7-AK953-Q7-Q7652, AQ85-AKJT853-JT
*       16;DIRS;  North      East     South      West
*       16;BIDS;  passe       2P      passe       1K    
*       16;RULE;              22                  17    
*       16;BIDS;  passe     passe     passe   
*       16;RULE;                              
*       17;DEAL;T93-A8742-98-A64, AK72-T5-KT76-JT8, QJ86-KJ963-2-K97, 54-Q-AQJ543-Q532
*       17;DIRS;  North      East     South      West
*       17;BIDS;  passe     passe       1C      passe   
*       17;RULE;                        19              
*       17;BIDS;    1C      passe       2T      passe   
*       17;RULE;    19                  29              
*       17;BIDS;  passe     passe   
*       17;RULE;                    
*       18;DEAL;A9-T954-AQ432-86, Q43-732-T96-KJ52, JT7652-A86-75-T9, K8-KQJ-KJ8-AQ743
*       18;DIRS;  North      East     South      West
*       18;BIDS;  passe     passe     passe       1T    
*       18;RULE;                                  17    
*       18;BIDS;  passe     passe     passe   
*       18;RULE;                              
*       19;DEAL;54-QJ73-AKJ-KT42, AKQ6-T985-632-85, T8-A42-T874-AQ73, J9732-K6-Q95-J96
*       19;DIRS;  North      East     South      West
*       19;BIDS;    1T      passe      1SA      passe   
*       19;RULE;    17                  71              
*       19;BIDS;  passe     passe   
*       19;RULE;                    
*       20;DEAL;T84-KJ5-Q983-AK8, A92-AQ32-542-T52, QJ-T764-AK-QJ976, K7653-98-JT76-43
*       20;DIRS;  North      East     South      West
*       20;BIDS;    1K      passe       2T      passe   
*       20;RULE;    17                  59              
*       20;BIDS;   2SA      passe     passe     passe   
*       20;RULE;   500                                  
*       21;DEAL;KT-K962-9-AQT953, AQ2-A8743-K632-7, 843-5-AQ875-K862, J9765-QJT-JT4-J4
*       21;DIRS;  North      East     South      West
*       21;BIDS;    1T        1C      passe     passe   
