sense_id;sequence
 241;  -    -   1T    -   2K  
 239;  -    -   1K    -   2T  
 242;  -    -   1K    -   3T  
 219;  -    -   1C    -   1P  
 249;  -    -   1C    -   2T    -   2P  
 221;  -    -   1C    -   2P  
 217;  -    -   1C    -   3P  
 247;  -    -   1P    -   2T    -   2C  
 216;  -    -   1P    -   4C  
 238;  -    -   1m    -   1F  
 240;  -    -   1m    -   2M  
 223;  -    -   1M    -   1SA 
 218;  -    -   1M    -   2T  
 244;  -    -   1M    -   2T    -   2K  
 250;  -    -   1M    -   2T    -   2K    -   2M  
 251;  -    -   1M    -   2T    -   2K    -   3M  
 243;  -    -   1M    -   2T    -   2M  
 248;  -    -   1M    -   2T    -   3m  
 245;  -    -   1M    -   2T    -   3M  
 246;  -    -   1M    -   2T    -   4M  
 214;  -    -   1M    -   2SA 
2016;  -    -   1M    -   2SA   -   3T  
2081;  -    -   1M    -   2m    o   3m  
 220;  -    -   1M    -   2E  
 213;  -    -   1M    -   3M  
 222;  -    -   1M    -   3E  
 215;  -    -   1M    -   4m  
2773; 1T    -   1K    -   1C    -   1P  
2774; 1T    -   1K    -   1C    -   2P  
3388; 1T    -   1K    -   1C    -   2P    -   3T  
3486; 1T    -   1K    -   1C    -   2P    -   3T  
3424; 1T    -   1K    -   1C    -   2P    -   3C  
2772; 1T    -   1K    -   1P    -   2C  
3423; 1T    -   1K    -   1P    -   2C    -   2P  
3387; 1T    -   1K    -   1P    -   2C    -   3T  
3485; 1T    -   1K    -   1P    -   2C    -   3T  
2776; 1T    -   1K    -   1P    -   3C  
3426; 1T    -   1K    -   1P    -   3C    -   3P  
3390; 1T    -   1K    -   1P    -   3C    -   4T  
3488; 1T    -   1K    -   1P    -   3C    -   4T  
2161; 1T    -   1K    -   1M  
2196; 1T    -   1K    -   2T  
2753; 1T    -   1K    -   2SA   -   3C  
2752; 1T    -   1K    -   2SA   -   4C  
2205; 1T    -   1K    -   3T  
2080; 1T    -   1K    -   3M  
2294; 1T    -   1K   1C   1P  
2300; 1T    -   1K   1C   2P  
2323; 1T    -   1K   1P   2T  
2424; 1T    -   1K   1M    X  
2336; 1T    -   1K   1M   3T  
1049; 1T    -   1K   2T  
1061; 1T    -   1K   2K  
1067; 1T    -   1K   2SA 
2301; 1T    -   1K   2m   2P  
2078; 1T    -   1K    o   2K  
2719; 1T    -   1K    o   2K   2M   3M  
2716; 1T    -   1K    o   2K    o   2SA 
2718; 1T    -   1K    o   2K    o   2M  
2720; 1T    -   1K    o   2K    o   3K  
2717; 1T    -   1K    o   2K    o   3SA 
2715; 1T    -   1K    o   2K    o   4K  
2079; 1T    -   1K    o   3K  
2722; 1T    -   1K    o   3K    o   3SA 
2723; 1T    -   1K    o   3K    o   3M  
2721; 1T    -   1K    o   3K    o   4K  
2771; 1T    -   1C    -   1P    -   2K  
3369; 1T    -   1C    -   1P    -   2K    -   2C  
3422; 1T    -   1C    -   1P    -   2K    -   2P  
3386; 1T    -   1C    -   1P    -   2K    -   3T  
3484; 1T    -   1C    -   1P    -   2K    -   3T  
3352; 1T    -   1C    -   1P    -   2K    -   3C  
2775; 1T    -   1C    -   1P    -   3K  
3370; 1T    -   1C    -   1P    -   3K    -   3C  
3425; 1T    -   1C    -   1P    -   3K    -   3P  
3389; 1T    -   1C    -   1P    -   3K    -   4T  
3487; 1T    -   1C    -   1P    -   3K    -   4T  
3353; 1T    -   1C    -   1P    -   3K    -   4C  
2780; 1T    -   1C    -   2K    -   3P  
2707; 1T    -   1C    -   2C    -   2P  
2073; 1T    -   1C   1P   3P  
2069; 1T    -   1C   1P   4K  
1050; 1T    -   1C   2T  
1068; 1T    -   1C   2SA 
2779; 1T    -   1P    -   2K    -   3C  
2182; 1T    -   1P    -   2C  
1052; 1T    -   1P   2T  
1070; 1T    -   1P   2SA 
2183; 1T    -   1SA   -   2K  
2184; 1T    -   1SA   -   2C  
2185; 1T    -   1SA   -   2P  
2127; 1T    -   1SA   -   2SA 
2201; 1T    -   1SA   -   2E  
1084; 1T    -   1SA  2SA 
2197; 1T    -   1M    -   2T  
2181; 1T    -   1M    -   2K  
2206; 1T    -   1M    -   3T  
2067; 1T    -   1M    X   4K  
2421; 1T    -   1M   2K    X  
 234; 1T    -   2T  
 227; 1T    -   2K  
 235; 1T    -   3T  
 348; 1T   1K    X  
2355; 1T   1K    X   1C   2P  
2352; 1T   1K    X   1M   1P  
2370; 1T   1K    X   1M   2T  
2377; 1T   1K    X   2K   3T  
2379; 1T   1K    X   2M   3T  
2241; 1T   1K   1C    -   1P  
2247; 1T   1K   1P    -   2C  
2249; 1T   1K   1SA   -   2C  
2251; 1T   1K   1SA   -   2P  
2283; 1T   1K   1M    -   2K  
2363; 1T   1C    X   2T   2K  
2246; 1T   1C   1P    -   2K  
2071; 1T   1C   1P    -   4K   4K  
2074; 1T   1C   1P   2C   4K  
2252; 1T   1C   1SA   -   2P  
 378; 1T   1P    X    -   2K  
2364; 1T   1P    X   2K   2C  
2250; 1T   1P   1SA   -   2C  
2380; 1T   1M    X   2K   3T  
2378; 1T   1M    X   2M   3T  
2248; 1T   1M   1SA   -   2K  
2290; 1T   1M   2K    -   2M  
2266; 1T   1E   1SA   -   2T  
2276; 1T   1E   1SA   -   3T  
2264; 1T   1E   1M    -   2T  
2274; 1T   1E   1M    -   3T  
 344; 1T   1E   2T  
 345; 1T   1E   3T  
 440; 1T   2K    X  
 426; 1T   2K   2C  
 430; 1T   2K   2P  
 403; 1T   2K   3K  
1014; 1T   2SA 
 411; 1T   2SA  2SA 
 428; 1T   2SA  3K  
 432; 1T   2SA  3C  
 419; 1T   2SA  3SA 
